Yoav Shoham,Stanford University
Teresa H. Y. Meng,Stanford University
John L. Hennessy,Stanford University
Kunle Olukotun,Stanford University
Monica S. Lam,Stanford University
Mendel Rosenblum,Stanford University
Richard Fikes,Stanford University
Tim Roughgarden,Stanford University
Vladlen Koltun,Stanford University
Marc Levoy,Stanford University
Sebastian Thrun,Stanford University
Dawson R. Engler,Stanford University
Jure Leskovec,Stanford University
Serafim Batzoglou,Stanford University
Donald E. Knuth,Stanford University
Subhasish Mitra,Stanford University
Ronald Fedkiw,Stanford University
Hector Garcia-Molina,Stanford University
Serge A. Plotkin,Stanford University
William J. Dally,Stanford University
Percy Liang,Stanford University
Christoforos E. Kozyrakis,Stanford University
Allan Snavely,University of California-San Diego
Beth Simon,University of California-San Diego
Steven Swanson,University of California-San Diego
Lawrence K. Saul,University of California-San Diego
Charles Elkan,University of California-San Diego
Jeanne Ferrante,University of California-San Diego
Trey Ideker,University of California-San Diego
Larry Carter,University of California-San Diego
Yannis Papakonstantinou,University of California-San Diego
Walter J. Savitch,University of California-San Diego
Andrew A. Chien,University of California-San Diego
Sanjoy Dasgupta,University of California-San Diego
Ingolf Krueger,University of California-San Diego
Bill Lin,University of California-San Diego
Yuanyuan Zhou,University of California-San Diego
Amin Vahdat,University of California-San Diego
Rajesh K. Gupta,University of California-San Diego
Rajesh Gupta,University of California-San Diego
David J. Kriegman,University of California-San Diego
Kamalika Chaudhuri,University of California-San Diego
Walter H. Ku,University of California-San Diego
Michael B. Taylor,University of California-San Diego
William E. Howden,University of California-San Diego
Ryan Kastner,University of California-San Diego
Alex C. Snoeren,University of California-San Diego
Jeffrey B. Remmel,University of California-San Diego
Walter A. Burkhard,University of California-San Diego
Tajana Simunic Rosing,University of California-San Diego
Tajana Simunic,University of California-San Diego
Tajana Rosing,University of California-San Diego
Samuel R. Buss,University of California-San Diego
Keith Marzullo,University of California-San Diego
Daniele Micciancio,University of California-San Diego
Terrence J. Sejnowski,University of California-San Diego
Pavel A. Pevzner,University of California-San Diego
Chung-Kuan Cheng,University of California-San Diego
Geoffrey M. Voelker,University of California-San Diego
Ronald L. Graham,University of California-San Diego
Serge J. Belongie,University of California-San Diego
Dean M. Tullsen,University of California-San Diego
Alin Deutsch,University of California-San Diego
Alina Deutsch,University of California-San Diego
Andrew B. Kahng,University of California-San Diego
Ramamohan Paturi,University of California-San Diego
Larry Smarr,University of California-San Diego
Alex Orailoglu,University of California-San Diego
Joseph Pasquale,University of California-San Diego
Fan Chung Graham,University of California-San Diego
Sidney Karin,University of California-San Diego
James D. Hollan,University of California-San Diego
Mihir Bellare,University of California-San Diego
Alexander Vardy,University of California-San Diego
Hovav Shacham,University of California-San Diego
Victor D. Vianu,University of California-San Diego
Sorin Lerner,University of California-San Diego
Alon Orlitsky,University of California-San Diego
George Varghese,University of California-San Diego
Henrik Wann Jensen,University of California-San Diego
William G. Griswold,University of California-San Diego
Stefan Savage,University of California-San Diego
Brad Calder,University of California-San Diego
Yoav Freund,University of California-San Diego
Vineet Bafna,University of California-San Diego
Falko Kuester,University of California-San Diego
Sadik C. Esener,University of California-San Diego
Russell Impagliazzo,University of California-San Diego
Kimberly C. Claffy,University of California-San Diego
Garrison W. Cottrell,University of California-San Diego
Scott B. Baden,University of California-San Diego
Ranjit Jhala,University of California-San Diego
Clyde P. Kruskal,University of Maryland College Park
Leila De Floriani,University of Maryland College Park
Donald Perlis,University of Maryland College Park
Don Perlis,University of Maryland College Park
Carl Kingsford,University of Maryland College Park
Mikael Lindvall,University of Maryland College Park
Bobby Bhattacharjee,University of Maryland College Park
Amitabh Varshney,University of Maryland College Park
Jon Froehlich,University of Maryland College Park
Raymond E. Miller,University of Maryland College Park
Samir Khuller,University of Maryland College Park
Laveen N. Kanal,University of Maryland College Park
Mohammad Taghi Hajiaghayi,University of Maryland College Park
MohammadTaghi Hajiaghayi,University of Maryland College Park
Héctor Corrada Bravo,University of Maryland College Park
Neil Spring,University of Maryland College Park
Neil T. Spring,University of Maryland College Park
Jeffrey S. Foster,University of Maryland College Park
Hanan Samet,University of Maryland College Park
David W. Jacobs,University of Maryland College Park
Lise Getoor,University of Maryland College Park
