,Name,GS_Name,CNPqLevel,Begin,End,University,GS_Name,GS_Link,GS_H5,GS_Cits,GS_H5_2010,GS_Cits_2010
104,Edson Norberto Cáceres,,2,01/03/14,28/02/2017,UFMS,,,,,,
105,Edson Prestes e Silva Júnior,,2,01/03/13,29/02/2016,UFRGS,,,,,,
106,Eduardo Camponogara,Eduardo Camponogara,1D,01/03/14,28/02/2018,UFSC,Eduardo Camponogara,/citations?user=ENRqGKMAAAAJ&hl=pt-BR,16.0,1544.0,12.0,943.0
107,Eduardo Candido Xavier,Eduardo Candido Xavier,2,01/03/12,28/02/2015,UNICAMP,Eduardo Candido Xavier,/citations?user=JMx0rAMAAAAJ&hl=pt-BR,8.0,253.0,8.0,211.0
108,Eduardo Coelho Cerqueira,Eduardo Cerqueira,2,01/03/14,28/02/2017,UFPA,Eduardo Cerqueira,/citations?user=6Oexn7IAAAAJ&hl=pt-BR,13.0,668.0,11.0,530.0
109,Eduardo Freire Nakamura,Eduardo Freire Nakamura,2,01/03/13,29/02/2016,FUCAPI,Eduardo Freire Nakamura,/citations?user=wYg_ErYAAAAJ&hl=pt-BR,21.0,2140.0,17.0,1609.0
110,Eduardo Magno Lages Figueiredo,Eduardo Figueiredo,2,01/03/13,29/02/2016,UFMG,Eduardo Figueiredo,/citations?user=3sxP3E4AAAAJ&hl=pt-BR,19.0,1747.0,16.0,1089.0
111,Eduardo Santana de Almeida,Eduardo Almeida,2,01/03/14,28/02/2017,UFBA,Eduardo Almeida,/citations?user=hA_SnHoAAAAJ&hl=pt-BR,19.0,1474.0,16.0,961.0
112,Eduardo Sany Laber,,1C,01/03/14,28/02/2018,PUC-Rio,,,,,,
113,Edward Hermann Haeusler,Edward Haeusler,2,01/03/14,28/02/2017,PUC-Rio,Edward Haeusler,/citations?user=eQP-Ez8AAAAJ&hl=pt-BR,10.0,401.0,7.0,208.0
114,Elaine Gouvêa Pimentel,,2,01/03/14,28/02/2017,UFRN,,,,,,
115,Elias Procópio Duarte Júnior,Elias P. Duarte Jr.,1D,01/03/13,28/02/2017,UFPR,Elias P. Duarte Jr.,/citations?user=BC8w04cAAAAJ&hl=pt-BR,12.0,632.0,9.0,282.0
116,Emerson Luiz do Monte Carmelo,,2,01/03/14,28/02/2017,UEM,,,,,,
117,Emilio Del Moral Hernandez,,2,01/03/13,29/02/2016,USP,,,,,,
118,Érika Fernandes Cota,,2,01/03/12,28/02/2015,UFRGS,,,,,,
119,Ernesto Julián Goldberg Birgin,Ernesto G. Birgin,1C,01/03/11,28/02/2015,USP,Ernesto G. Birgin,/citations?user=K5oE4mAAAAAJ&hl=pt-BR,27.0,3518.0,21.0,2467.0
120,Eros Comunello,Eros Comunelo,2,01/03/14,28/02/2017,UNIVALI,Eros Comunelo,/citations?user=cEAVrscAAAAJ&hl=pt-BR,10.0,344.0,9.0,271.0
121,Estevam Rafael Hruschka Júnior,Estevam R. Hruschka Jr.,2,01/03/14,28/02/2017,UFSCAR,Estevam R. Hruschka Jr.,/citations?user=19J-aOkAAAAJ&hl=pt-BR,14.0,1332.0,10.0,1179.0
122,Eugene Francis Vinod Rebello,Vinod E. F. Rebello,2,01/03/13,29/02/2016,UFF,Vinod E. F. Rebello,/citations?user=ZvHr9LEAAAAJ&hl=pt-BR,12.0,490.0,9.0,213.0
123,Fabian Luis Vargas,,1D,01/03/12,29/02/2016,PUCRS,,,,,,
124,Fabiano Passuelo Hessel,Fabiano Hessel,2,01/03/13,29/02/2016,PUCRS,Fabiano Hessel,/citations?user=cZguQ0UAAAAJ&hl=pt-BR,16.0,676.0,9.0,323.0
125,Fabio Andre Machado Porto,Fabio Porto,2,01/03/13,29/02/2016,LNCC,Fabio Porto,/citations?user=9u6ir0EAAAAJ&hl=pt-BR,16.0,1070.0,11.0,661.0
126,Fabio Gagliardi Cozman,Fabio Gagliardi Cozman,1C,01/08/13,28/02/2015,USP,Fabio Gagliardi Cozman,/citations?user=tzbfgcMAAAAJ&hl=pt-BR,28.0,3086.0,17.0,1371.0
127,Fabio Kon,Fabio Kon,1D,01/03/14,28/02/2018,USP,Fabio Kon,/citations?user=VE8BW84AAAAJ&hl=pt-BR,24.0,3342.0,14.0,907.0
128,Fabio Luciano Verdi,Fabio Verdi,2,01/03/13,29/02/2016,UFSCAR,Fabio Verdi,/citations?user=oD_PeLYAAAAJ&hl=pt-BR,12.0,366.0,9.0,238.0
129,Fábio Protti,Fbio Protti,1B,01/03/14,28/02/2018,UFF,Fbio Protti,/citations?user=_kEAhAwAAAAJ&hl=pt-BR,15.0,695.0,14.0,501.0
130,Fabrício Benevenuto de Souza,,2,01/03/13,29/02/2016,UFOP,,,,,,
